token,token_id,cluster
хар,14884,50
тель,50039,50
приемную,56086,50
суе,43591,50
дач,104332,50
престо,10738,50
Пар,3649,50
веско,115035,50
Протя,40134,50
Засе,115008,50
снимая,45698,50
дует,60988,50
зауряд,56176,50
сня,3719,50
нём,8349,50
посте,3746,50
вещал,97952,50
Стре,8348,50
Угрю,97979,50
оку,10770,50
заря,10784,50
спо,1129,50
суеты,60960,50
Двена,40353,50
сущий,99655,50
Лежит,114706,50
ПЕР,45861,50
заст,114354,50
побрел,63261,50
сне,4052,50
яич,60684,50
Вол,4054,50
чт,14441,50
укорен,98655,50
стаей,114317,50
рейда,53350,50
скинула,108029,50
Правя,98668,50
БУД,98669,50
кожных,108126,50
веж,11106,50
затею,103820,50
Жда,56580,50
экстре,98726,50
отчекан,118537,50
скачут,103813,50
Счита,11144,50
нач,4063,50
государю,66232,50
некий,14544,50
дат,11087,50
Ус,10907,50
сверх,8137,50
узник,107902,50
дли,3886,50
набросил,114648,50
Хот,98316,50
земляк,98319,50
шикарные,103981,50
яхте,60755,50
создал,10960,50
Гол,11015,50
невз,49889,50
Приподня,108014,50
решёт,56497,50
лаем,98435,50
всемирно,49807,50
соберу,43275,50
Лов,40472,50
сих,4015,50
Иго,4030,50
затер,114379,50
Дали,43462,50
ад,1575,50
сопер,4976,50
дне,13669,50
бел,47073,50
висках,59418,50
обра,1016,50
лагу,100922,50
сюр,12761,50
голам,102112,50
главе,5900,50
наспех,64852,50
бол,5902,50
вым,64915,50
Уси,47867,50
Вида,109947,50
заветный,118236,50
