token,token_id,cluster
Ходил,110031,50
пятам,58593,50
тир,111353,50
отчеканил,110116,50
опеки,47823,50
невы,6688,50
Же,6010,50
стойку,42273,50
фами,5831,50
Луч,5825,50
навис,52101,50
запретило,100600,50
Бег,48026,50
присла,12919,50
Ток,58453,50
заложен,12865,50
ночлег,58455,50
болтая,111647,50
содержи,5758,50
увезла,111610,50
просел,100804,50
мане,12845,50
Шед,111598,50
зас,5791,50
преда,5810,50
Лягу,109767,50
срочная,102177,50
проде,64972,50
провел,5811,50
зве,5815,50
сойдет,47011,50
Тот,5817,50
Тек,12171,50
пра,925,50
чут,47695,50
мате,6093,50
Сы,6345,50
возму,6552,50
Оде,6377,50
родит,101427,50
дже,47351,50
неприя,12320,50
зай,6486,50
Прошлый,101677,50
несо,6462,50
Защи,12535,50
ниж,6406,50
дога,6422,50
зной,59058,50
художе,6414,50
сняло,101662,50
просидела,110622,50
пришлют,110618,50
очер,12404,50
Чет,12354,50
боях,12399,50
обязали,64552,50
возбуждены,47509,50
загудел,119253,50
дор,53592,50
шах,6144,50
исправ,12189,50
пожел,64711,50
просиял,111072,50
болван,47631,50
увле,12617,50
жел,6176,50
дуэте,101241,50
тяж,6640,50
соб,1510,50
Кре,6636,50
Шка,64668,50
Бегу,64421,50
Минуты,110219,50
осве,6226,50
сводил,64433,50
стае,101327,50
лиш,6252,50
прочим,12556,50
выдаст,59254,50
сема,110333,50
хате,101973,50
прозву,10710,50
меж,5635,50
бодр,41727,50
размещён,99983,50
вои,7252,50
клятва,109229,50
кладет,57838,50
